Data point,Count,Police Shooting rate,Population,"Total Crime per 10,0000","Violent Crime per 10,0000","Property Crime per 10,0000",Murder,Rape*,Robbery,assault,Burglary,Theft,Car Theft,Land area,Gun rate,Joined year
AK 2015,4.0000,5.4222,737709.0000,3551.2000,730.8000,2820.4000,8.0000,87.8000,103.2000,497.6000,475.9000,2067.1000,277.3000,570641.0000,0.6170,1959
AK 2016,6.0000,8.0915,741522.0000,4159.3000,804.6000,3354.7000,7.0000,142.0000,114.6000,540.9000,546.6000,2395.9000,412.3000,570641.0000,0.6170,1959
AK 2017,7.0000,9.4622,739786.0000,4398.7000,856.7000,3542.0000,8.4000,145.2000,128.7000,574.5000,563.3000,2403.7000,575.0000,570641.0000,0.6170,1959
AK 2018,7.0000,9.5220,735139.0000,4203.3000,891.7000,3311.6000,6.4000,164.9000,121.9000,598.5000,542.1000,2226.0000,543.6000,570641.0000,0.6170,1959
AK 2019,6.0000,8.2018,731545.0000,3777.9000,867.1000,2910.8000,9.4000,148.7000,112.9000,596.0000,487.1000,2066.0000,357.7000,570641.0000,0.6170,1959
AL 2015,17.0000,3.5024,4853875.0000,3455.9000,473.0000,2982.9000,7.2000,29.9000,95.0000,328.8000,726.5000,2043.4000,213.0000,50750.0000,0.4890,1819
AL 2016,23.0000,4.7320,4860545.0000,3480.0000,532.4000,2947.4000,8.4000,39.4000,96.4000,388.2000,700.4000,2005.9000,241.0000,50750.0000,0.4890,1819
AL 2017,21.0000,4.3076,4875120.0000,3471.5000,522.4000,2949.1000,8.6000,41.0000,86.8000,386.0000,641.4000,2045.2000,262.5000,50750.0000,0.4890,1819
AL 2018,12.0000,2.4552,4887681.0000,3360.9000,523.1000,2837.8000,7.8000,41.6000,82.8000,390.9000,595.4000,1970.8000,271.6000,50750.0000,0.4890,1819
AL 2019,11.0000,2.2434,4903185.0000,3185.2000,510.8000,2674.4000,7.3000,42.2000,80.4000,381.0000,531.9000,1886.1000,256.5000,50750.0000,0.4890,1819
AR 2015,4.0000,1.3432,2977853.0000,3800.0000,529.5000,3270.5000,6.3000,47.9000,71.1000,384.7000,767.4000,2307.7000,195.4000,52075.0000,0.5790,1836
AR 2016,12.0000,4.0158,2988231.0000,3836.9000,554.3000,3282.6000,7.3000,74.1000,71.1000,401.8000,796.9000,2245.2000,240.5000,52075.0000,0.5790,1836
AR 2017,10.0000,3.3300,3002997.0000,3710.2000,566.0000,3144.2000,8.3000,71.3000,66.5000,419.9000,744.9000,2157.7000,241.6000,52075.0000,0.5790,1836
AR 2018,20.0000,6.6451,3009733.0000,3524.6000,561.6000,2963.0000,7.4000,77.8000,52.9000,423.6000,648.6000,2071.6000,242.8000,52075.0000,0.5790,1836
AR 2019,17.0000,5.6332,3017804.0000,3442.6000,584.6000,2858.0000,8.0000,77.2000,51.6000,447.8000,599.6000,2012.6000,245.9000,52075.0000,0.5790,1836
AZ 2015,42.0000,6.1606,6817565.0000,3449.2000,410.2000,3039.0000,4.5000,33.3000,93.3000,266.9000,557.5000,2235.2000,246.2000,113642.0000,0.3230,1912
AZ 2016,45.0000,6.5136,6908642.0000,3471.8000,471.0000,3000.8000,5.6000,47.8000,102.0000,315.6000,553.2000,2180.1000,267.5000,113642.0000,0.3230,1912
AZ 2017,39.0000,5.5328,7048876.0000,3414.0000,505.7000,2908.3000,6.0000,51.4000,105.5000,342.8000,535.1000,2103.2000,269.9000,113642.0000,0.3230,1912
AZ 2018,49.0000,6.8455,7158024.0000,3168.2000,475.7000,2692.5000,5.4000,50.4000,90.9000,329.1000,444.1000,1980.8000,267.6000,113642.0000,0.3230,1912
AZ 2019,31.0000,4.2590,7278717.0000,2895.8000,455.3000,2440.5000,5.0000,50.3000,88.1000,311.9000,394.3000,1796.9000,249.4000,113642.0000,0.3230,1912
CA 2015,182.0000,4.6674,38993940.0000,3056.4000,428.0000,2628.4000,4.8000,24.0000,135.6000,254.8000,506.2000,1683.6000,438.5000,155973.0000,0.2010,1850
CA 2016,127.0000,3.2318,39296476.0000,2994.8000,444.8000,2550.0000,4.9000,34.9000,139.4000,265.6000,479.2000,1621.0000,449.8000,155973.0000,0.2010,1850
CA 2017,143.0000,3.6295,39399349.0000,2958.6000,453.3000,2505.3000,4.6000,37.4000,143.7000,267.6000,448.4000,1629.5000,427.3000,155973.0000,0.2010,1850
CA 2018,96.0000,2.4327,39461588.0000,2833.7000,447.5000,2386.2000,4.4000,39.3000,137.7000,266.2000,417.2000,1575.7000,393.3000,155973.0000,0.2010,1850
CA 2019,111.0000,2.8093,39512223.0000,2772.4000,441.2000,2331.2000,4.3000,37.5000,132.4000,267.1000,386.1000,1586.3000,358.8000,155973.0000,0.2010,1850
C0 2015,28.0000,5.1387,5448819.0000,2962.0000,318.4000,2643.6000,3.2000,44.4000,60.8000,193.3000,431.1000,1918.4000,294.0000,103730.0000,0.3430,1876
C0 2016,27.0000,4.8824,5530105.0000,3095.3000,344.1000,2751.2000,3.4000,65.7000,63.7000,211.2000,430.8000,1965.2000,355.2000,103730.0000,0.3430,1876
C0 2017,27.0000,4.8078,5615902.0000,3079.4000,372.2000,2707.2000,4.0000,71.6000,68.9000,227.7000,402.7000,1913.7000,390.7000,103730.0000,0.3430,1876
C0 2018,36.0000,6.3255,5691287.0000,3112.5000,401.5000,2711.0000,3.8000,76.0000,66.4000,255.2000,382.3000,1941.9000,386.9000,103730.0000,0.3430,1876
C0 2019,33.0000,5.7304,5758736.0000,2971.7000,381.0000,2590.7000,3.8000,67.2000,63.6000,246.3000,348.4000,1858.3000,384.0000,103730.0000,0.3430,1876
CT 2015,2.0000,0.5579,3584730.0000,2051.7000,221.4000,1830.3000,3.2000,16.3000,81.6000,114.3000,286.9000,1364.1000,179.3000,4845.0000,0.1660,1788
CT 2016,4.0000,1.1149,3587685.0000,2036.0000,227.7000,1808.3000,2.2000,22.0000,75.6000,127.9000,281.7000,1327.9000,198.6000,4845.0000,0.1660,1788
CT 2017,5.0000,1.3990,3573880.0000,2010.1000,229.2000,1780.9000,2.9000,23.8000,78.7000,123.7000,249.2000,1326.8000,204.9000,4845.0000,0.1660,1788
CT 2018,1.0000,0.2800,3571520.0000,1871.5000,209.6000,1661.9000,2.4000,24.4000,61.7000,121.0000,223.5000,1237.0000,201.4000,4845.0000,0.1660,1788
CT 2019,4.0000,1.1219,3565287.0000,1610.2000,183.6000,1426.6000,2.9000,21.6000,54.1000,105.0000,180.7000,1078.7000,167.3000,4845.0000,0.1660,1788
DE 2015,3.0000,3.1777,944076.0000,3210.0000,504.2000,2705.8000,6.6000,27.2000,131.3000,328.0000,508.1000,2071.3000,126.4000,1955.0000,0.0520,1787
DE 2016,1.0000,1.0503,952065.0000,3274.8000,508.8000,2766.0000,5.9000,23.2000,142.7000,327.8000,527.6000,2078.7000,159.7000,1955.0000,0.0520,1787
DE 2017,5.0000,5.2242,957078.0000,2905.4000,457.3000,2448.1000,5.3000,36.7000,113.1000,302.3000,413.8000,1892.0000,142.3000,1955.0000,0.0520,1787
DE 2018,0.0000,0.0000,965479.0000,2743.1000,422.5000,2320.6000,4.8000,34.6000,89.2000,293.9000,326.7000,1841.6000,152.4000,1955.0000,0.0520,1787
DE 2019,0.0000,0.0000,973764.0000,2674.8000,422.6000,2252.2000,4.9000,31.8000,81.1000,304.7000,304.8000,1782.7000,164.7000,1955.0000,0.0520,1787
FL 2015,61.0000,3.0131,20244914.0000,3279.4000,462.5000,2816.9000,5.1000,26.7000,104.4000,315.6000,539.7000,2076.3000,200.8000,53997.0000,0.3250,1845
FL 2016,56.0000,2.7168,20612439.0000,3117.1000,430.3000,2686.8000,5.4000,26.8000,97.9000,290.2000,486.7000,1990.8000,209.3000,53997.0000,0.3250,1845
FL 2017,56.0000,2.6696,20976812.0000,2921.0000,408.1000,2512.9000,5.0000,37.8000,88.7000,276.6000,423.5000,1884.8000,204.6000,53997.0000,0.3250,1845
FL 2018,62.0000,2.9184,21244317.0000,2673.7000,385.9000,2287.8000,5.2000,39.7000,79.5000,261.5000,338.6000,1755.4000,193.8000,53997.0000,0.3250,1845
FL 2019,57.0000,2.6539,21477737.0000,2524.1000,378.4000,2145.7000,5.2000,39.4000,75.5000,258.3000,295.2000,1668.7000,181.8000,53997.0000,0.3250,1845
GA 2015,27.0000,2.6472,10199398.0000,3479.6000,381.3000,3098.3000,6.1000,23.0000,123.0000,220.3000,668.2000,2164.0000,266.2000,57919.0000,0.3160,1788
GA 2016,26.0000,2.5217,10310371.0000,3402.1000,397.6000,3004.5000,6.6000,24.5000,118.4000,238.5000,614.4000,2130.1000,259.9000,57919.0000,0.3160,1788
GA 2017,27.0000,2.5929,10413055.0000,3214.9000,356.5000,2858.4000,6.5000,25.4000,94.5000,230.0000,531.7000,2076.7000,250.0000,57919.0000,0.3160,1788
GA 2018,39.0000,3.7104,10511131.0000,2981.8000,338.9000,2642.9000,6.2000,26.6000,80.9000,225.2000,445.4000,1956.3000,241.2000,57919.0000,0.3160,1788
GA 2019,29.0000,2.7314,10617423.0000,2716.5000,340.7000,2375.8000,6.2000,27.5000,75.0000,232.0000,372.1000,1779.8000,223.9000,57919.0000,0.3160,1788
HI 2015,2.0000,1.4034,1425157.0000,3432.5000,247.7000,3184.8000,2.0000,26.8000,76.1000,131.8000,477.8000,2325.4000,381.6000,6423.0000,0.4510,1959
HI 2016,6.0000,4.2000,1428557.0000,3301.9000,309.2000,2992.7000,2.5000,31.3000,69.6000,193.8000,421.2000,2175.8000,395.8000,6423.0000,0.4510,1959
HI 2017,3.0000,2.1064,1424203.0000,3087.3000,251.2000,2836.1000,2.7000,39.8000,75.6000,133.0000,389.6000,2076.5000,370.0000,6423.0000,0.4510,1959
HI 2018,10.0000,7.0393,1420593.0000,3143.0000,255.0000,2888.0000,2.8000,49.9000,66.9000,135.3000,401.9000,2083.6000,402.5000,6423.0000,0.4510,1959
HI 2019,7.0000,4.9439,1415872.0000,3126.7000,285.5000,2841.2000,3.4000,54.0000,79.9000,148.2000,377.2000,2093.0000,371.1000,6423.0000,0.4510,1959
IA 2015,5.0000,1.6015,3121997.0000,2348.1000,276.1000,2072.0000,2.3000,28.1000,33.6000,201.5000,479.7000,1451.9000,140.4000,55875.0000,0.3380,1846
IA 2016,5.0000,1.5951,3134693.0000,2376.6000,290.6000,2086.0000,2.3000,29.4000,36.6000,212.0000,479.5000,1447.6000,159.0000,55875.0000,0.3380,1846
IA 2017,5.0000,1.5905,3143637.0000,2375.9000,287.5000,2088.4000,3.1000,41.5000,40.4000,202.5000,468.0000,1445.5000,175.0000,55875.0000,0.3380,1846
IA 2018,9.0000,2.8584,3148618.0000,2074.8000,263.7000,1811.1000,2.2000,35.8000,31.4000,194.3000,394.9000,1254.5000,161.8000,55875.0000,0.3380,1846
IA 2019,5.0000,1.5848,3155070.0000,2000.3000,266.6000,1733.7000,1.9000,36.9000,27.4000,200.4000,371.1000,1199.6000,163.0000,55875.0000,0.3380,1846
ID 2015,7.0000,4.2352,1652828.0000,1966.6000,217.4000,1749.2000,1.9000,30.7000,11.6000,161.4000,370.5000,1265.5000,113.3000,82751.0000,0.5690,1890
ID 2016,6.0000,3.5648,1683140.0000,1974.5000,230.3000,1744.2000,2.9000,31.4000,12.7000,172.0000,375.4000,1245.4000,123.4000,82751.0000,0.5690,1890
ID 2017,5.0000,2.9088,1718904.0000,1900.5000,239.2000,1661.3000,2.4000,43.9000,12.9000,179.9000,339.6000,1196.7000,125.1000,82751.0000,0.5690,1890
ID 2018,12.0000,6.8550,1750536.0000,1714.8000,239.7000,1475.1000,1.9000,53.0000,11.1000,173.7000,285.1000,1078.3000,111.7000,82751.0000,0.5690,1890
ID 2019,6.0000,3.3575,1787065.0000,1443.3000,223.8000,1219.5000,2.0000,45.3000,8.7000,167.9000,219.7000,911.8000,87.9000,82751.0000,0.5690,1890
IL 2015,21.0000,1.6356,12839047.0000,2388.9000,387.5000,2001.4000,5.9000,28.1000,117.3000,226.0000,364.9000,1498.7000,137.8000,55593.0000,0.2620,1818
IL 2016,26.0000,2.0310,12801539.0000,2485.3000,436.3000,2049.0000,8.2000,28.4000,139.3000,250.5000,374.9000,1518.6000,155.5000,55593.0000,0.2620,1818
IL 2017,20.0000,1.5642,12786196.0000,2431.4000,436.2000,1995.2000,7.7000,42.4000,138.7000,247.4000,339.1000,1492.7000,163.4000,55593.0000,0.2620,1818
IL 2018,19.0000,1.4934,12723071.0000,2350.2000,411.4000,1938.8000,7.1000,48.0000,112.0000,244.3000,309.0000,1473.8000,156.0000,55593.0000,0.2620,1818
IL 2019,10.0000,0.7892,12671821.0000,2253.4000,406.9000,1846.5000,6.6000,48.0000,98.4000,254.0000,271.7000,1426.6000,148.2000,55593.0000,0.2620,1818
IN 2015,18.0000,2.7137,6633053.0000,2994.1000,404.7000,2589.4000,6.6000,27.9000,110.5000,249.9000,514.0000,1853.3000,222.1000,35870.0000,0.3380,1816
IN 2016,13.0000,1.9519,6660082.0000,2781.3000,395.0000,2386.3000,6.2000,39.2000,105.6000,243.9000,447.4000,1717.6000,221.3000,35870.0000,0.3380,1816
IN 2017,19.0000,2.8393,6691878.0000,2561.6000,382.3000,2179.3000,6.5000,35.4000,88.7000,251.6000,377.6000,1572.7000,229.1000,35870.0000,0.3380,1816
IN 2018,18.0000,1.8042,9976447.0000,2252.5000,449.9000,1802.6000,5.7000,71.3000,65.2000,307.7000,359.2000,1247.0000,196.4000,35870.0000,0.3380,1816
IN 2019,14.0000,1.4006,9995915.0000,2102.9000,449.4000,1653.5000,5.5000,76.9000,56.6000,310.3000,316.6000,1162.3000,174.6000,35870.0000,0.3380,1816
KS 2015,9.0000,3.0963,2906721.0000,3149.3000,395.0000,2754.3000,4.3000,42.2000,62.7000,270.1000,537.3000,1975.9000,241.0000,81823.0000,0.3220,1861
KS 2016,10.0000,3.4396,2907289.0000,3075.9000,380.4000,2695.5000,3.8000,33.4000,57.5000,274.0000,494.1000,1962.9000,238.6000,81823.0000,0.3220,1861
KS 2017,12.0000,4.1227,2910689.0000,3127.8000,400.4000,2727.4000,4.6000,51.7000,56.1000,288.0000,450.1000,2023.3000,254.0000,81823.0000,0.3220,1861
KS 2018,6.0000,2.0609,2911359.0000,3102.0000,441.8000,2660.2000,4.2000,57.2000,48.8000,331.6000,439.4000,1948.4000,272.4000,81823.0000,0.3220,1861
KS 2019,9.0000,3.0893,2913314.0000,2725.3000,410.8000,2314.5000,3.6000,48.6000,44.4000,314.2000,342.7000,1721.9000,249.9000,81823.0000,0.3220,1861
KY 2015,15.0000,3.3901,4424611.0000,2428.1000,223.5000,2204.6000,4.9000,26.3000,74.9000,106.5000,509.1000,1517.5000,178.0000,39732.0000,0.4240,1792
KY 2016,18.0000,4.0568,4436974.0000,2422.0000,232.3000,2189.7000,5.9000,26.5000,75.9000,113.5000,469.6000,1497.4000,222.8000,39732.0000,0.4240,1792
KY 2017,17.0000,3.8169,4453874.0000,2384.3000,231.1000,2153.2000,5.9000,40.8000,66.6000,117.7000,461.1000,1459.5000,232.6000,39732.0000,0.4240,1792
KY 2018,19.0000,4.2590,4461153.0000,2218.2000,217.9000,2000.3000,5.6000,42.0000,55.3000,114.9000,391.4000,1374.4000,234.5000,39732.0000,0.4240,1792
KY 2019,12.0000,2.6860,4467673.0000,2114.5000,217.1000,1897.4000,4.9000,35.2000,48.4000,128.6000,345.7000,1323.5000,228.2000,39732.0000,0.4240,1792
LA 2015,26.0000,5.5687,4668960.0000,3917.6000,539.8000,3377.8000,10.5000,26.7000,119.1000,373.0000,759.4000,2410.0000,208.4000,43566.0000,0.4450,1812
LA 2016,18.0000,3.8448,4681666.0000,3863.8000,566.1000,3297.7000,11.8000,28.4000,119.1000,396.4000,740.5000,2336.3000,220.8000,43566.0000,0.4450,1812
LA 2017,19.0000,4.0678,4670818.0000,3923.4000,556.3000,3367.1000,12.3000,39.6000,115.3000,389.1000,730.8000,2398.8000,237.5000,43566.0000,0.4450,1812
LA 2018,14.0000,3.0045,4659690.0000,3826.7000,543.3000,3283.4000,11.4000,45.2000,98.7000,387.9000,671.5000,2362.1000,249.8000,43566.0000,0.4450,1812
LA 2019,19.0000,4.0871,4648794.0000,3711.3000,549.3000,3162.0000,11.7000,48.9000,86.6000,402.1000,579.0000,2352.4000,230.5000,43566.0000,0.4450,1812
MA 2015,9.0000,1.3266,6784240.0000,2078.3000,389.9000,1688.4000,1.9000,22.7000,77.6000,279.7000,321.7000,1248.1000,118.6000,7838.0000,0.2260,1788
MA 2016,12.0000,1.7617,6811779.0000,1938.0000,376.9000,1561.1000,2.0000,23.4000,78.8000,265.0000,281.8000,1161.0000,118.3000,7838.0000,0.2260,1788
MA 2017,3.0000,0.4371,6863246.0000,1781.9000,354.3000,1427.6000,2.5000,32.0000,71.0000,248.8000,246.5000,1072.0000,109.1000,7838.0000,0.2260,1788
MA 2018,3.0000,0.4359,6882635.0000,1613.9000,340.3000,1273.6000,2.0000,35.8000,59.3000,243.2000,204.8000,973.0000,95.8000,7838.0000,0.2260,1788
MA 2019,3.0000,0.4353,6892503.0000,1507.4000,327.6000,1179.8000,2.2000,32.0000,52.4000,241.0000,179.0000,911.8000,89.0000,7838.0000,0.2260,1788
MD 2015,15.0000,2.5021,5994983.0000,2847.9000,470.1000,2377.8000,9.0000,20.2000,168.7000,263.9000,440.9000,1713.1000,223.8000,9775.0000,0.2070,1788
MD 2016,14.0000,2.3270,6016447.0000,2756.5000,472.0000,2284.5000,8.0000,21.0000,171.0000,263.8000,410.4000,1677.4000,196.7000,9775.0000,0.2070,1788
MD 2017,9.0000,1.4938,6024891.0000,2739.1000,503.3000,2235.8000,9.3000,28.4000,185.7000,279.9000,390.5000,1620.9000,224.4000,9775.0000,0.2070,1788
MD 2018,12.0000,1.9881,6035802.0000,2506.3000,469.4000,2036.9000,8.1000,33.0000,161.0000,267.3000,313.3000,1522.4000,201.3000,9775.0000,0.2070,1788
MD 2019,18.0000,2.9773,6045680.0000,2404.3000,454.1000,1950.2000,9.0000,31.6000,152.2000,261.3000,278.9000,1485.0000,186.2000,9775.0000,0.2070,1788
ME 2015,2.0000,1.5044,1329453.0000,1962.2000,129.8000,1832.4000,1.7000,25.3000,23.4000,70.0000,353.1000,1418.1000,61.2000,30865.0000,0.2260,1820
ME 2016,2.0000,1.5021,1331479.0000,1769.5000,123.8000,1645.7000,1.5000,22.5000,20.0000,71.3000,300.6000,1286.8000,58.2000,30865.0000,0.2260,1820
ME 2017,9.0000,6.7413,1335063.0000,1629.3000,120.6000,1508.7000,1.7000,35.2000,18.7000,65.0000,250.0000,1199.3000,59.4000,30865.0000,0.2260,1820
ME 2018,2.0000,1.4936,1339057.0000,1471.2000,112.0000,1359.2000,1.7000,33.4000,17.0000,59.9000,202.5000,1098.7000,58.0000,30865.0000,0.2260,1820
ME 2019,3.0000,2.2318,1344212.0000,1360.8000,115.2000,1245.6000,1.5000,38.4000,14.0000,61.3000,174.8000,1016.7000,54.0000,30865.0000,0.2260,1820
MI 2015,16.0000,1.6133,9917715.0000,2348.4000,420.6000,1927.8000,5.9000,48.2000,78.8000,268.2000,407.1000,1331.1000,189.5000,56539.0000,0.2880,1837
MI 2016,12.0000,1.2087,9928300.0000,2368.9000,459.0000,1909.9000,6.0000,51.5000,71.7000,309.5000,398.5000,1308.1000,203.2000,56539.0000,0.2880,1837
MI 2017,13.0000,1.3031,9976447.0000,2252.5000,449.9000,1802.6000,5.7000,71.3000,65.2000,307.7000,359.2000,1247.0000,196.0000,56539.0000,0.2880,1837
MI 2018,17.0000,1.7027,9984072.0000,2117.0000,452.5000,1664.5000,5.6000,79.1000,56.5000,311.3000,318.8000,1170.6000,175.0000,56539.0000,0.2880,1837
MI 2019,11.0000,1.1014,9986857.0000,2022.4000,437.4000,1585.0000,5.6000,72.4000,53.6000,305.9000,286.1000,1121.3000,177.7000,56539.0000,0.2880,1837
MN 2015,12.0000,2.1888,5482435.0000,2467.9000,242.9000,2225.0000,2.4000,30.6000,68.8000,129.4000,352.0000,1727.4000,145.6000,79617.0000,0.3670,1858
MN 2016,14.0000,2.5363,5519952.0000,2375.9000,242.6000,2133.3000,1.8000,31.4000,67.5000,130.7000,337.1000,1638.1000,158.1000,79617.0000,0.3670,1858
MN 2017,9.0000,1.6163,5568155.0000,2438.5000,239.7000,2198.8000,2.0000,43.2000,65.1000,129.3000,338.1000,1681.0000,179.6000,79617.0000,0.3670,1858
MN 2018,12.0000,2.1405,5606249.0000,2222.3000,221.2000,2001.1000,1.9000,44.1000,52.5000,122.6000,289.1000,1531.3000,180.7000,79617.0000,0.3670,1858
MN 2019,10.0000,1.7732,5639632.0000,2315.2000,236.4000,2078.8000,2.1000,43.4000,55.8000,135.1000,282.4000,1597.5000,198.9000,79617.0000,0.3670,1858
MO 2015,21.0000,3.4561,6076204.0000,3358.6000,498.5000,2860.1000,8.3000,30.6000,105.0000,342.9000,560.0000,2020.2000,279.9000,68898.0000,0.2710,1821
MO 2016,19.0000,3.1183,6093000.0000,3318.5000,519.4000,2799.1000,8.8000,30.9000,107.8000,360.8000,520.4000,1978.4000,300.3000,68898.0000,0.2710,1821
MO 2017,31.0000,5.0748,6108612.0000,3369.5000,531.2000,2838.3000,9.8000,44.8000,104.1000,372.5000,492.5000,2019.4000,326.4000,68898.0000,0.2710,1821
MO 2018,20.0000,3.2671,6121623.0000,3159.2000,501.4000,2657.8000,9.8000,47.9000,85.0000,358.7000,446.7000,1886.9000,324.2000,68898.0000,0.2710,1821
MO 2019,24.0000,3.9104,6137428.0000,3133.7000,495.0000,2638.7000,9.3000,47.5000,80.8000,357.4000,430.4000,1865.0000,343.3000,68898.0000,0.2710,1821
MS 2015,8.0000,2.6761,2989390.0000,3143.6000,274.0000,2869.6000,8.5000,28.5000,77.3000,149.4000,838.6000,1888.2000,142.9000,46914.0000,0.4280,1817
MS 2016,8.0000,2.6767,2988726.0000,3048.6000,280.5000,2768.1000,8.0000,30.3000,80.2000,149.6000,781.4000,1842.1000,144.7000,46914.0000,0.4280,1817
MS 2017,17.0000,5.6863,2989663.0000,3024.5000,256.2000,2768.3000,6.4000,22.0000,83.4000,144.5000,750.9000,1872.1000,145.4000,46914.0000,0.4280,1817
